global_step,phase,run,epoch,loss,lr
5350,pretrain,ep-1,,0.180181,9.968882306444101e-05
5400,pretrain,ep-1,,0.179998,9.968238087848115e-05
5450,pretrain,ep-1,,0.179768,9.967587290344654e-05
5500,pretrain,ep-1,,0.17961,9.96692991480426e-05
5550,pretrain,ep-1,,0.179396,9.966265962106282e-05
5600,pretrain,ep-1,,0.179186,9.96559543313886e-05
5650,pretrain,ep-1,,0.178965,9.964918328798926e-05
5700,pretrain,ep-1,,0.178774,9.964234649992208e-05
5750,pretrain,ep-1,,0.178591,9.963544397633236e-05
5800,pretrain,ep-1,,0.178393,9.962847572645334e-05
5850,pretrain,ep-1,,0.178258,9.962144175960614e-05
5900,pretrain,ep-1,,0.178136,9.961434208519966e-05
5950,pretrain,ep-1,,0.177966,9.960717671273086e-05
6000,pretrain,ep-1,,0.177821,9.95999456517846e-05
6050,pretrain,ep-1,,0.177634,9.959264891203358e-05
6100,pretrain,ep-1,,0.177503,9.95852865032383e-05
6150,pretrain,ep-1,,0.177321,9.957785843524712e-05
6200,pretrain,ep-1,,0.177173,9.957036471799613e-05
6250,pretrain,ep-1,,0.177018,9.956280536150944e-05
6300,pretrain,ep-1,,0.176885,9.955518037589886e-05
6350,pretrain,ep-1,,0.176731,9.954748977136401e-05
6400,pretrain,ep-1,,0.176595,9.95397335581922e-05
6450,pretrain,ep-1,,0.176432,9.953191174675864e-05
6500,pretrain,ep-1,,0.176249,9.952402434752614e-05
6550,pretrain,ep-1,,0.176139,9.951607137104536e-05
6600,pretrain,ep-1,,0.176031,9.950805282795467e-05
6650,pretrain,ep-1,,0.175845,9.94999687289801e-05
6700,pretrain,ep-1,,0.175712,9.949181908493539e-05
6750,pretrain,ep-1,,0.175592,9.948360390672193e-05
6800,pretrain,ep-1,,0.175463,9.947532320532883e-05
6850,pretrain,ep-1,,0.175298,9.946697699183272e-05
6900,pretrain,ep-1,,0.17518,9.945856527739806e-05
6950,pretrain,ep-1,,0.17507,9.945008807327687e-05
7000,pretrain,ep-1,,0.174944,9.944154539080866e-05
7050,pretrain,ep-1,,0.174795,9.943293724142063e-05
7100,pretrain,ep-1,,0.174673,9.942426363662737e-05
7150,pretrain,ep-1,,0.174556,9.941552458803132e-05
7200,pretrain,ep-1,,0.174458,9.940672010732233e-05
7250,pretrain,ep-1,,0.174364,9.939785020627767e-05
7300,pretrain,ep-1,,0.174226,9.938891489676224e-05
7350,pretrain,ep-1,,0.174101,9.937991419072839e-05
7400,pretrain,ep-1,,0.173994,9.937084810021602e-05
7450,pretrain,ep-1,,0.173894,9.936171663735239e-05
7500,pretrain,ep-1,,0.173779,9.935251981435224e-05
7550,pretrain,ep-1,,0.173694,9.934325764351782e-05
7600,pretrain,ep-1,,0.173603,9.933393013723864e-05
7650,pretrain,ep-1,,0.173485,9.932453730799175e-05
7700,pretrain,ep-1,,0.173397,9.931507916834153e-05
7750,pretrain,ep-1,,0.173305,9.93055557309396e-05
7800,pretrain,ep-1,,0.17319,9.929596700852518e-05
7850,pretrain,ep-1,,0.17308,9.92863130139246e-05
7900,pretrain,ep-1,,0.172989,9.927659376005153e-05
7950,pretrain,ep-1,,0.1729,9.92668092599071e-05
8000,pretrain,ep-1,,0.172799,9.925695952657943e-05
8050,pretrain,ep-1,,0.17271,9.924704457324425e-05
8100,pretrain,ep-1,,0.172611,9.923706441316423e-05
8150,pretrain,ep-1,,0.1725,9.922701905968945e-05
8200,pretrain,ep-1,,0.172398,9.921690852625715e-05
8250,pretrain,ep-1,,0.172322,9.92067328263917e-05
8300,pretrain,ep-1,,0.172246,9.919649197370466e-05
8350,pretrain,ep-1,,0.172176,9.918618598189477e-05
8400,pretrain,ep-1,,0.172087,9.917581486474786e-05
8450,pretrain,ep-1,,0.171992,9.916537863613703e-05
8500,pretrain,ep-1,,0.171885,9.915487731002224e-05
8550,pretrain,ep-1,,0.171806,9.914431090045065e-05
8600,pretrain,ep-1,,0.171702,9.913367942155652e-05
8650,pretrain,ep-1,,0.171611,9.912298288756109e-05
8700,pretrain,ep-1,,0.171512,9.911222131277268e-05
8750,pretrain,ep-1,,0.171424,9.91013947115865e-05
8800,pretrain,ep-1,,0.17133,9.909050309848488e-05
8850,pretrain,ep-1,,0.171233,9.907954648803698e-05
8900,pretrain,ep-1,,0.171149,9.906852489489898e-05
8950,pretrain,ep-1,,0.171048,9.905743833381405e-05
9000,pretrain,ep-1,,0.170993,9.904628681961207e-05
9050,pretrain,ep-1,,0.17093,9.903507036720995e-05
9100,pretrain,ep-1,,0.170879,9.902378899161143e-05
9150,pretrain,ep-1,,0.17078,9.901244270790719e-05
9200,pretrain,ep-1,,0.170741,9.900103153127463e-05
9250,pretrain,ep-1,,0.170671,9.89895554769779e-05
9300,pretrain,ep-1,,0.170585,9.897801456036805e-05
9350,pretrain,ep-1,,0.170508,9.896640879688279e-05
9400,pretrain,ep-1,,0.17042,9.895473820204672e-05
9450,pretrain,ep-1,,0.170357,9.8943002791471e-05
9500,pretrain,ep-1,,0.170282,9.89312025808536e-05
9550,pretrain,ep-1,,0.170207,9.891933758597921e-05
9600,pretrain,ep-1,,0.170166,9.890740782271895e-05
9650,pretrain,ep-1,,0.170078,9.889541330703082e-05
9700,pretrain,ep-1,,0.169997,9.888335405495932e-05
9750,pretrain,ep-1,,0.169933,9.887123008263564e-05
9800,pretrain,ep-1,,0.169872,9.885904140627737e-05
9850,pretrain,ep-1,,0.169805,9.884678804218886e-05
9900,pretrain,ep-1,,0.169736,9.883447000676079e-05
9950,pretrain,ep-1,,0.169671,9.882208731647054e-05
10000,pretrain,ep-1,,0.169614,9.880963998788182e-05
10050,pretrain,ep-1,,0.169529,9.879712803764487e-05
10100,pretrain,ep-1,,0.169436,9.878455148249646e-05
10150,pretrain,ep-1,,0.16938,9.877191033925948e-05
10200,pretrain,ep-1,,0.169304,9.875920462484363e-05
10250,pretrain,ep-1,,0.169223,9.874643435624473e-05
10300,pretrain,ep-1,,0.169164,9.873359955054497e-05
10350,pretrain,ep-1,,0.169077,9.872070022491291e-05
10400,pretrain,ep-1,,0.169024,9.870773639660326e-05
10450,pretrain,ep-1,,0.168953,9.869470808295737e-05
10500,pretrain,ep-1,,0.168892,9.868161530140252e-05
10550,pretrain,ep-1,,0.168801,9.866845806945236e-05
10600,pretrain,ep-1,,0.168726,9.865523640470673e-05
10650,pretrain,ep-1,,0.168684,9.864195032485166e-05
10700,pretrain,ep-1,,0.168634,9.862859984765934e-05
10750,pretrain,ep-1,,0.168571,9.861518499098811e-05
10800,pretrain,ep-1,,0.168515,9.860170577278241e-05
10850,pretrain,ep-1,,0.168468,9.858816221107283e-05
10900,pretrain,ep-1,,0.168395,9.857455432397601e-05
10950,pretrain,ep-1,,0.16833,9.856088212969445e-05
11000,pretrain,ep-1,,0.16827,9.854714564651707e-05
11050,pretrain,ep-1,,0.168239,9.853334489281835e-05
11100,pretrain,ep-1,,0.168164,9.85194798870591e-05
11150,pretrain,ep-1,,0.168095,9.850555064778578e-05
11200,pretrain,ep-1,,0.168033,9.8491557193631e-05
11250,pretrain,ep-1,,0.167976,9.847749954331321e-05
11300,pretrain,ep-1,,0.167918,9.846337771563658e-05
11350,pretrain,ep-1,,0.167861,9.844919172949132e-05
11400,pretrain,ep-1,,0.167808,9.843494160385336e-05
11450,pretrain,ep-1,,0.167774,9.842062735778453e-05
11500,pretrain,ep-1,,0.167736,9.840624901043228e-05
11550,pretrain,ep-1,,0.167666,9.839180658102991e-05
11600,pretrain,ep-1,,0.167626,9.837730008889649e-05
11650,pretrain,ep-1,,0.167568,9.836272955343657e-05
11700,pretrain,ep-1,,0.167524,9.834809499414066e-05
11750,pretrain,ep-1,,0.167459,9.833339643058466e-05
11800,pretrain,ep-1,,0.167408,9.831863388243011e-05
11850,pretrain,ep-1,,0.167361,9.830380736942428e-05
11900,pretrain,ep-1,,0.167309,9.828891691139993e-05
11950,pretrain,ep-1,,0.167267,9.827396252827538e-05
12000,pretrain,ep-1,,0.167223,9.825894424005448e-05
12050,pretrain,ep-1,,0.167176,9.824386206682643e-05
12100,pretrain,ep-1,,0.16713,9.822871602876607e-05
12150,pretrain,ep-1,,0.167064,9.821350614613358e-05
12200,pretrain,ep-1,,0.167028,9.819823243927441e-05
12250,pretrain,ep-1,,0.166971,9.818289492861962e-05
12300,pretrain,ep-1,,0.166942,9.816749363468547e-05
12350,pretrain,ep-1,,0.166903,9.815202857807367e-05
12400,pretrain,ep-1,,0.166837,9.813649977947098e-05
12450,pretrain,ep-1,,0.166772,9.812090725964977e-05
12500,pretrain,ep-1,,0.166718,9.810525103946731e-05
12550,pretrain,ep-1,,0.166671,9.808953113986626e-05
12600,pretrain,ep-1,,0.166636,9.807374758187448e-05
12650,pretrain,ep-1,,0.166578,9.805790038660491e-05
12700,pretrain,ep-1,,0.166535,9.80419895752556e-05
12750,pretrain,ep-1,,0.166515,9.802601516910974e-05
12800,pretrain,ep-1,,0.166478,9.800997718953565e-05
12850,pretrain,ep-1,,0.166431,9.799387565798652e-05
12900,pretrain,ep-1,,0.166382,9.797771059600066e-05
12950,pretrain,ep-1,,0.166323,9.79614820252014e-05
13000,pretrain,ep-1,,0.166281,9.794518996729698e-05
13050,pretrain,ep-1,,0.166229,9.792883444408043e-05
13100,pretrain,ep-1,,0.166184,9.791241547743e-05
13150,pretrain,ep-1,,0.16615,9.789593308930844e-05
13200,pretrain,ep-1,,0.166097,9.787938730176367e-05
13250,pretrain,ep-1,,0.166058,9.78627781369281e-05
13300,pretrain,ep-1,,0.166002,9.784610561701921e-05
13350,pretrain,ep-1,,0.165961,9.782936976433897e-05
13400,pretrain,ep-1,,0.165904,9.781257060127427e-05
13450,pretrain,ep-1,,0.165861,9.779570815029653e-05
13500,pretrain,ep-1,,0.165812,9.777878243396187e-05
13550,pretrain,ep-1,,0.165779,9.776179347491112e-05
13600,pretrain,ep-1,,0.165755,9.774474129586966e-05
13681,pretrain,ep-3,,0.164035,9.771698265880198e-06
13731,pretrain,ep-3,,0.16428,9.76997649517706e-06
13781,pretrain,ep-3,,0.16313,9.768248410772123e-06
13831,pretrain,ep-3,,0.163428,9.766514014976978e-06
13881,pretrain,ep-3-res,,0.163064,9.764773310111648e-06
13931,pretrain,ep-3,,0.162175,9.763026298504588e-06
13981,pretrain,ep-3,,0.162278,9.761272982492697e-06
14031,pretrain,ep-3,,0.16199,9.75951336442132e-06
14081,pretrain,ep-3,,0.161548,9.757747446644215e-06
14131,pretrain,ep-3-res,,0.160966,9.755975231523564e-06
14181,pretrain,ep-3-res,,0.160779,9.75419672142999e-06
14231,pretrain,ep-3-res,,0.16067,9.752411918742518e-06
14281,pretrain,ep-3-res,,0.161039,9.750620825848607e-06
14331,pretrain,ep-3-res,,0.160765,9.748823445144113e-06
14381,pretrain,ep-3-res,,0.160764,9.747019779033309e-06
14431,pretrain,ep-3-res,,0.160931,9.745209829928891e-06
14481,pretrain,ep-3,,0.161354,9.743393600251929e-06
14531,pretrain,ep-3-res,,0.160937,9.741571092431937e-06
